Marca temporal;Elige el curso;Opinión General Sobre el Curso;¿Aprobó la Cursada?;¿Cómo te Resultaron los Temas de la Materia?;¿Los Temas de la Materia Están Actualizados?;Nivel de las Clases Teóricas del Curso;Nivel de las Clases Prácticas del Curso;Dificultad del Curso;Dificultad del TP;¿Cursaste antes la materia de manera presencial?;¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases teóricas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases prácticas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Trabajos prácticos];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Instancias de consulta];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Tiempos de respuesta ante consultas];¿Qué aspectos valorás positivamente de la cursada remota? (elegí todas las que apliquen);¿Qué aspectos valorás negativamente de la cursada remota? (elegí todas las que apliquen);¿Creés que la cátedra estuvo a la altura de una cursada virtual? En cuanto a herramientas, comunicación, material, etc;¿Creés que debería evaluarse la posibilidad de que el curso sea total o parcialmente virtual cuando sea posible retomar las cursadas presenciales?;¿Estás conforme con la forma en que el curso evaluó sus contenidos? ¿Te sentiste cómodo/a?;¿Tenés algún otro comentario o sugerencia sobre el curso y la cursada virtual de este cuatrimestre?;;;;;;
3/1/2021 19:39:22;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;No;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de volver atrás al no entender algo;Menor interacción con el docente;si;Si;si;no;;;;;;
3/1/2021 19:57:00;75.02-95.11-Algoritmos y Programación I (Electrónica) - 2 - Essaya;Muy Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Buenas;Normal;Dificil;No;Similar;Similar;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares;Si;Si;Si;;;;;;;
3/1/2021 20:10:43;75.02-95.11-Algoritmos y Programación I (Electrónica) - 2 - Essaya;Muy Bueno;No;Interesantes;Sí;Muy Buenas;Regulares;Dificil;Dificil;Si;Mejor;Similar;Peor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Falta de espacio adecuado para estudiar, Incomodidad en mi hogar;Si;Si;Mas o menos, especialmente en la última parte, todo muy apretado al dia de la fecha no se si apruebo la cursada.;Que los tps no demanden tanto tiempo, son temas interesantes pero deja poco tiempo para estar al dia con la materia.;;;;;;
3/1/2021 20:14:33;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Muy Bueno;No;Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;Si;Mejor;Mejor;Mejor;Mejor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal;Si, me pareció muy bueno el material que ofrece la cátedra.;Si;Muy cómodo;Me gusto mucho la cursada virtual a diferencia de la presencial (que curse anteriormente), pero si se piensa hacer de manera virtual, creo que sería complicado con los horarios de otras materias, ya que si tengo que cursar esta materia pero estoy en la facultad por terminar de cursar otra no podría, ya que tengo 1:30hs de viaje, esto afectaría más para los parciales, ya que si fuese clase podría verse nuevamente. Y los parciales los prefiero virtuales ya que me parece bueno que nos empezamos a familiarizar con la programación y el tiempo disponible y no tener que estar escribiendo en un papel el código, ya que el ámbito de esta carrera se maneja mas de forma virtual.;;;;;;
3/1/2021 20:16:42;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;;Si;;;;;;;;
3/1/2021 20:57:04;75.02-95.11-Algoritmos y Programación I (Electrónica) - 2 - Essaya;Excelente;No;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;Si;Mejor;Mejor;Mejor;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad, Incomodidad en mi hogar;si me gusto mucho la calidad del material y las clases prácticas ;Si;si, muy bueno , quizas el tiempo para resolver los parcialitos es poco, ya que no llegas a testear lo que hiciste.Aparte de eso muy bueno todo;;;;;;;
3/1/2021 21:09:29;75.02-95.11-Algoritmos y Programación I (Electrónica) - 2 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Dificil;Si;Mejor;Mejor;Similar;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares;Si, se adaptaron perfectamente.;Si;La forma de evaluación fue adecuada tanto en metodología como dificultad.;;;;;;;
3/1/2021 21:11:08;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal, Falta de espacio adecuado para estudiar;Fue una muy buena catedra y estuvo perfectamente a la altura;Si;Si y me senti muy comodo;No;;;;;;
3/1/2021 21:11:25;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Mejor;Mejor;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Comodidad de mi hogar;;;Si;;;;;;;;
3/1/2021 21:17:48;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Problemas de conectividad;Si;Si;Si, si;No;;;;;;
